Index,Condo Name,Address,Postal Code
322,CHEN FANG MANSIONS,"26 Lorong 33 Geylang, 387986",387986
323,CHERRY GARDENS,"61 Lorong Lew Lian, 536491",536491
324,CHERRYHILL,"21 Lorong Lew Lian, 536467",536467
325,CHESTERVALE,"31 Bangkit Road, 679973",679973
326,CHESTNUT-VILLE,"2 Jalan Pakis, 678595",678595
327,CHIKU MANSIONS,"5 Chiku Road, 429419",429419
328,CHIVERTON,"50 Ewe Boon Road, 259343",259343
329,CHNG MANSIONS,"120 Arthur Road, 439828",439828
330,CHOON KIM HOUSE,"780 Upper Serangoon Road, 534649",534649
331,CHOON MOEY MANSIONS,"36 Lorong 31 Geylang, 388034",388034
332,CHUAN GREEN,"76 Chuan Drive, 554823",554823
333,CHUAN LOFT,"60 Chuan Drive, 554611",554611
334,CHUAN PARK,"240 Lorong Chuan, 556743",556743
335,CHUAN SEVEN,"18 Chuan Drive, 554865",554865
336,CHUNG CHIN FLATS,"344 East Coast Road, 428963",428963
337,CITIGATE RESIDENCE,"168 Rangoon Road, 218437",218437
338,CITY EDGE,"14 Moulmein Rise, 308129",308129
339,CITY GATE,"371 Beach Road, 199597",199597
340,CITY LOFT,"363 Race Course Road, 218636",218636
341,CITY REGENCY,"18 Saint Michael's Road, 327977",327977
342,CITY SQUARE RESIDENCES,"14 Kitchener Link, 207223",207223
343,CITY SUITES,"235 Balestier Road, 329699",329699
344,CITYLIFE @ TAMPINES,"69 Tampines Central 7, 528596",528596
345,CITYLIFE@TAMPINES,"57 Tampines Central 7, 528593",528593
346,CITYSCAPE @ FARRER PARK,"101 Mergui Road, 219067",219067
347,CITYVISTA RESIDENCES,"21 Peck Hay Road, 228314",228314
348,CLAREMONT,"161 Killiney Road, 239569",239569
349,CLEMENTI PARK,"115 Sunset Way, 597149",597149
350,CLEMENTIWOODS CONDOMINIUM,"90 West Coast Road, 12681",126816
351,CLIFTEN,"48 Ewe Boon Road, 259342",259342
352,CLIVEDEN AT GRANGE,"100 Grange Road, 249591",249591
353,CLOVER PARK,"12 Jalan Binchang, 574037",574037
354,CLUNY PARK RESIDENCE,"99 Cluny Park Road, 257496",257496
355,CLYDES RESIDENCE,"78 Mergui Road, 219054",219054
356,COASTAL BREEZE RESIDENCES,"8 Loyang Besar Close, 509049",509049
357,COASTAL VIEW RESIDENCES,"179 Jalan Loyang Besar, 506926",506926
358,COASTARINA,"510 East Coast Road, 459135",459135
359,COCO PALMS,"21 Pasir Ris Grove, 51807",518141
360,COMMONWEALTH TOWERS,"230 Commonwealth Avenue, 149739",149739
361,COMPASS HEIGHTS,"9 Sengkang Square, 545075",545075
