Index,Condo Name,Address
440,DUCHESS ROAD,"3 Duchess Road, 268978"
441,DUCHESS ROYALE,"32 Duchess Avenue, 269105"
442,DUCHESS WALK,"6 Duchess Walk, 268933"
443,DUET,"78 Holland Road, 258873"
444,DUKES RESIDENCE,"25 Duke's Road, 268906"
445,DUKU APARTMENTS,"75 Duku Road, 429237"
446,DUKU COURT,"71 Duku Road, 429233"
447,DUNEARN COURT,"386 Dunearn Road, 289599"
448,DUNEARN LODGE,"408 Dunearn Road, 289674"
449,DUNEARN SUITES,"404 Dunearn Road, 289609"
450,DUNMAN PLACE,"515 Dunman Road, 439204"
451,DUNMAN REGENCY,"485 Dunman Road, 43919"
452,DUNMAN VIEW,"100 Haig Road, 438797"
453,DYNASTY LODGE,"265 Sixth Avenue, 276559"
454,E MAISON,"30 Braddell Road, 359946"
455,E-SPACE,"135 Lorong K Telok Kurau, 425774"
456,E7 LODGE,"66 Lorong Melayu, 416953"
457,EAST 25 APARTMENTS,"10 Lorong 25a Geylang, 388224"
458,EAST BAY GARDENS,"87 Lorong G Telok Kurau, 426277"
459,EAST COAST MANSIONS,"615 East Coast Road, 429085"
460,EAST COAST RESIDENCES,"412 Upper East Coast Road, 466488"
461,EAST COAST VILLE,"324 Upper East Coast Road, 466455"
462,EAST COURT,"87 Koon Seng Road, 427028"
463,EAST ELEGANCE,"190 Joo Chiat Terrace, 427336"
